date,photoID,position,area,x,y,,,,,
4/3/2024,462,1,3.157,1.568,1.721,,,,,
4/3/2024,462,2,3.428,1.477,1.709,,,,,
4/3/2024,462,3,3.232,1.773,1.807,,,,,
4/3/2024,462,4,2.67,1.524,1.497,,,,,
4/3/2024,474,1,3.756,1.864,1.874,,,,,
4/3/2024,474,2,3.754,1.497,1.635,,,,,
4/3/2024,474,3,3.323,1.516,1.512,,,,,
4/3/2024,474,4,2.585,1.544,1.555,,,,,
4/3/2024,476,1,3.034,1.447,1.698,,,,,
4/3/2024,476,2,2.754,1.586,1.763,,,,,
4/3/2024,476,3,3.254,1.728,1.852,,,,,
4/3/2024,476,4,2.884,1.521,1.64,,,,,
4/3/2024,483,1,2.452,1.46,1.65,,,,,
4/3/2024,483,2,3.489,1.846,1.869,,,,,
4/3/2024,483,3,3.209,1.624,1.455,,,,,
4/3/2024,483,4,2.968,1.531,1.508,,,,,
4/3/2024,490,1,3.938,1.996,2.083,,,,,
4/3/2024,490,2,2.985,1.732,1.776,,,,,
4/3/2024,490,3,3.174,1.719,1.699,,,,,
4/3/2024,490,4,3.423,1.679,1.533,,,,,
4/3/2024,499,1,2.893,1.527,1.888,,,,,
4/3/2024,499,2,2.667,1.607,1.679,,,,,
4/3/2024,499,3,3.93,1.543,1.582,,,,,
4/3/2024,499,4,2.452,1.848,1.878,,,,,
4/3/2024,506,1,3.503,1.59,2.331,,,,,
4/3/2024,506,2,2.891,1.436,1.53,,,,,
4/3/2024,506,3,3.086,1.547,1.684,,,,,
4/3/2024,506,4,2.815,1.817,1.655,,,,,
4/22/2024,534,1,3.473,2.09,2.256,,,,,
4/22/2024,534,2,4.107,1.893,2.146,,,,,
4/22/2024,534,3,3.834,1.965,2.143,,,,,
4/22/2024,534,4,3.689,1.602,1.867,,,,,
4/22/2024,534,5,4.174,2.03,2.242,,,,,
4/22/2024,537,1,4.237,2.462,2.665,,,,,
4/22/2024,537,2,3.515,2.011,2.056,,,,,
4/22/2024,537,3,3.299,1.844,1.686,,,,,
4/22/2024,537,4,3.604,1.789,1.792,,,,,
4/22/2024,540,1,3.748,1.708,2.046,,,,,
4/22/2024,540,2,3.445,1.822,1.858,,,,,
4/22/2024,540,3,3.169,1.762,1.675,,,,,
4/22/2024,543,1,4.788,2.369,2.534,,,,,
4/22/2024,543,2,4.767,2.183,3.21,,,,,
4/22/2024,543,3,4.225,1.715,2.203,,,,,
4/22/2024,543,5,3.459,2.422,2.43,,,,,
4/22/2024,546,1,5.184,2.33,2.361,,,,,
4/22/2024,546,2,4.698,1.995,1.984,,,,,
4/22/2024,546,3,3.821,1.922,2.185,,,,,
4/22/2024,546,4,3.604,2.042,2.084,,,,,
4/22/2024,549,1,3.148,2.241,2.332,,,,,
4/22/2024,549,2,3.821,1.902,1.978,,,,,
4/22/2024,549,3,3.377,1.806,2.244,,,,,
4/22/2024,549,4,3.971,1.822,2.005,,,,,
4/22/2024,552,1,3.734,2.108,2.169,,,,,
4/22/2024,552,2,4.062,1.981,2.176,,,,,
4/22/2024,552,3,3.268,1.871,1.775,,,,,
4/22/2024,552,4,3.449,1.627,1.766,,,,,
4/22/2024,555,1,3.305,2.197,2.899,,,,,
4/22/2024,555,2,3.843,1.826,1.958,,,,,
4/22/2024,555,3,3.542,1.777,1.753,,,,,
4/22/2024,555,4,3.906,1.856,1.729,,,,,
4/22/2024,558,1,3.604,1.917,2.162,,,,,
4/22/2024,558,2,3.549,1.982,2.091,,,,,
4/22/2024,558,3,3.994,2.373,2.025,,,,,
4/22/2024,558,4,4.198,2.285,2.422,,,,,
4/22/2024,561,1,4.251,2.735,2.613,,,,,
4/22/2024,561,3,3.514,2.26,2.213,,,,,
4/22/2024,561,4,4.477,1.866,2.134,,,,,
4/22/2024,561,5,3.451,2.127,2.354,,,,,
4/22/2024,564,1,3.358,2.525,2.655,,,,,
4/22/2024,564,2,3.484,2.515,2.718,,,,,
4/22/2024,564,4,3.824,2.303,2.518,,,,,
4/22/2024,564,5,4.226,2.112,2.169,,,,,
4/22/2024,567,1,4.187,2.094,2.312,,,,,
4/22/2024,567,2,4.634,2.11,2.305,,,,,
4/22/2024,567,4,4.549,2.185,2.237,,,,,
4/22/2024,567,5,3.863,2.171,2.434,,,,,
