date,tank,tag,type,ymd,variable,value
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,sal,34.89885318173947
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,dic,2117.090578400446
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,ta,2423.6661220996707
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,spec_pHCorrected,7.9957090951734875
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,ph_calc,7.995389000150916
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,CO2,12.660898706337239
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,pCO2,480.5155470619688
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,HCO3,1880.916346224223
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,CO3,223.5133334698859
2023-11-02T14:27:00Z,T6,10100,tank,2023-11-02,OmegaAragonite,3.6016637985096467
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,temp.ERL,27.8912
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,pH.ERL,7.89469
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,sal,34.83466284977915
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,dic,2109.5462178797716
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,ta,2417.724901567478
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,spec_pHCorrected,8.032653579697255
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,ph_calc,8.000365855680112
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,CO2,12.47869871384885
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,pCO2,472.9306630085828
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,HCO3,1872.6727659878186
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,CO3,224.3947531781039
2023-11-02T14:30:00Z,T7,10064,tank,2023-11-02,OmegaAragonite,3.616615528890924
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,temp.ERL,27.9444
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,pH.ERL,7.98303
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,sal,34.91588290123064
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,dic,2112.3920700939757
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,ta,2419.1107644243302
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,spec_pHCorrected,8.004405392193801
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,ph_calc,7.9959756599130625
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,CO2,12.60971838571211
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,pCO2,478.69999617023007
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,HCO3,1876.360896758388
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,CO3,223.42145494987554
2023-11-02T14:32:00Z,T8,10074,tank,2023-11-02,OmegaAragonite,3.5998964600446306
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,temp.ERL,26.1687
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,pH.ERL,NA
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,sal,34.90671307148843
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,dic,2160.9827044081117
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,ta,2412.468297314364
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,spec_pHCorrected,7.946518638028781
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,ph_calc,7.928013638724535
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,CO2,15.907206025372393
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,pCO2,578.4067248199243
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,HCO3,1958.193806821001
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,CO3,186.88169156173802
2023-11-02T14:36:00Z,loop,10092,loop,2023-11-02,OmegaAragonite,2.984310273674433
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,temp.ERL,26.2
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,pH.ERL,NA
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,sal,35.81916841907106
